;VlrCond;Garagem;Preco;Quarto;M2;Bairro
0;0;1;570000;3;14;Copacabana
1;0;2;435000;2;15;Santa Amalia
2;1;1;497850;1;15;Santa Efigenia
3;0;0;320000;1;17;Funcionarios
4;0;2;394000;1;17;Santo Antonio
5;0;1;195000;1;18;Lourdes
6;0;0;190000;1;19;Sao Luiz
7;1;0;170000;1;19;Savassi
8;0;12;230000;1;20;Caicaras
9;0;0;92000;1;20;Centro
10;0;0;110000;1;20;Barro Preto
11;0;0;110000;1;20;Centro
12;0;0;90000;1;20;Centro
13;0;1;199500;1;20;Buritis
14;0;0;650;1;21;Santo Antonio
15;0;2;200000;1;21;Buritis
16;0;0;70000;1;22;Centro
17;850;1;150220;1;23;Pampulha
18;0;0;184000;1;23;Santa Efigenia
19;0;0;115000;1;23;Santa Lucia
20;0;0;159000;1;23;Santa Lucia
21;0;0;303330;1;23;Savassi
22;0;1;160000;1;23;Buritis
23;800;0;220000;1;24;Sao Luiz
24;0;0;319097;1;24;Santa Efigenia
25;0;0;319761;1;24;Santa Efigenia
26;0;0;330385;1;24;Santa Efigenia
27;0;0;285545;1;24;Barro Preto
28;0;0;280000;1;24;Savassi
29;0;1;371000;1;24;Savassi
30;0;0;100000;1;24;Centro
31;0;0;369290;1;24;Savassi
32;0;0;105000;1;25;Santa Monica
33;353;0;290000;1;25;Liberdade
34;353;0;290000;1;25;Liberdade
35;353;0;290000;1;25;Liberdade
36;0;0;175000;1;25;Cidade Nova
37;0;0;55000;1;25;Centro
38;0;0;225000;1;25;Funcionarios
39;0;1;300000;1;25;Lourdes
40;0;0;55000;1;25;Centro
41;0;0;120000;1;25;Centro
42;0;0;100000;1;25;Centro
43;0;1;220000;1;25;Centro
44;0;0;165000;1;25;Santa Efigenia
45;320;0;220000;1;25;Centro
46;306;0;250000;1;25;Centro
47;0;0;285545;1;25;Barro Preto
48;0;0;285545;1;25;Barro Preto
49;0;0;220000;1;25;Santo Agostinho
50;0;0;320000;1;25;Savassi
51;0;0;110000;1;25;Santa Lucia
52;0;0;125000;1;25;Estoril
53;0;0;150000;1;25;Estoril
54;0;1;165000;1;25;Estoril
55;0;1;180000;1;25;Estoril
56;0;0;140000;1;25;Serra
57;0;0;60000;1;25;Centro
58;0;0;219000;1;25;Santa Lucia
59;0;2;180000;1;25;Buritis
60;0;1;180000;1;25;Buritis
61;0;0;140000;1;25;Estoril
62;0;1;149900;1;25;Buritis
63;0;1;200000;1;25;Buritis
64;0;0;345789;1;26;Santa Efigenia
65;0;0;950;1;26;Savassi
66;0;1;350500;1;26;Savassi
67;0;0;310000;1;26;Buritis
68;0;1;170000;1;27;Lourdes
69;0;0;228000;1;27;Lourdes
70;0;0;240000;1;27;Funcionarios
71;0;1;130000;1;27;Centro
72;0;0;190000;1;27;Funcionarios
73;1;1;389000;1;27;Funcionarios
74;0;1;179000;1;27;Estoril
75;0;1;180000;1;27;Estoril
76;0;1;260000;1;27;Savassi
77;0;0;135000;1;28;Venda Nova
78;0;0;145000;1;28;Cidade Nova
79;0;0;389000;1;28;Savassi
80;0;0;231000;1;28;Castelo
81;0;0;280000;1;28;Castelo
82;1500;1;190000;1;28;Lourdes
83;0;0;270000;1;28;Santo Antonio
84;0;1;400000;1;28;Santo Agostinho
85;0;0;110000;1;28;Santa Efigenia
86;0;0;180000;1;28;Funcionarios
87;240;0;195000;1;28;Lourdes
88;0;0;134305;1;28;Sao Bento
89;0;0;230000;1;28;Gutierrez
90;0;0;840;1;28;Cidade Jardim
91;0;1;210000;1;28;Santa Efigenia
92;0;0;130000;1;28;Savassi
93;0;0;110000;1;28;Buritis
94;0;1;430000;1;29;Savassi
95;0;0;1250;1;29;Ouro Preto
96;0;0;393062;1;29;Santa Efigenia
97;0;0;229000;1;29;Barro Preto
98;0;0;246755;1;29;Barro Preto
99;400;0;300000;1;29;Estoril
100;0;1;178000;1;29;Buritis
101;0;1;180000;1;29;Buritis
102;0;1;184000;1;29;Buritis
103;0;1;189000;1;29;Buritis
104;0;1;189000;1;29;Buritis
105;0;0;142000;1;30;Copacabana
106;0;2;899000;3;30;Itapoa
107;1;2;499000;3;30;Santa Branca
108;0;1;298000;2;30;Planalto
109;0;1;140000;1;30;Floresta
110;0;0;50000;1;30;Centro
111;0;0;182500;1;30;Barro Preto
112;434;1;290000;1;30;Santo Agostinho
113;0;0;80000;1;30;Centro
114;400;0;170000;1;30;Centro
115;0;0;235000;1;30;Funcionarios
116;0;0;393063;1;30;Santa Efigenia
117;0;0;407669;1;30;Santa Efigenia
118;0;0;225000;1;30;Barro Preto
119;0;0;252025;1;30;Barro Preto
120;0;0;180000;1;30;Lourdes
121;0;1;350000;1;30;Funcionarios
122;0;0;220000;1;30;Santa Efigenia
123;0;0;150000;1;30;Funcionarios
124;0;0;170000;1;30;Funcionarios
125;0;1;350000;1;30;Funcionarios
126;0;1;190000;1;30;Estoril
127;0;0;200000;1;30;Buritis
128;0;1;189000;1;30;Buritis
129;0;0;130000000;1;31;Centro
130;0;0;412583;1;31;Santa Efigenia
131;0;0;412583;1;31;Santa Efigenia
132;0;0;442409;1;31;Santa Efigenia
133;0;1;320000;1;31;Lourdes
134;0;0;160000;1;31;Santo Agostinho
135;0;0;150000;2;31;Bonsucesso
136;0;1;309000;2;32;Piratininga Venda Nova
137;0;1;200000;1;32;Graca
138;0;0;427721;1;32;Santa Efigenia
139;0;0;427722;1;32;Santa Efigenia
140;0;0;100000;1;32;Barro Preto
141;200;1;450000;1;32;Lourdes
142;0;1;350000;1;32;Savassi
143;0;0;373060;1;32;Barro Preto
144;0;1;311000;1;32;Funcionarios
145;0;0;240800;1;32;Estoril
146;0;0;295000;1;32;Buritis
147;0;1;450000;1;33;Funcionarios
148;1;1;404880;1;33;Santa Efigenia
149;0;0;447241;1;33;Santa Efigenia
150;350;1;450000;1;33;Lourdes
151;1;1;460000;1;33;Lourdes
152;0;1;470000;1;33;Lourdes
153;0;0;238000;1;33;Lourdes
154;0;2;655259;2;33;Joao Pinheiro
155;0;1;242000;1;33;Estoril
156;0;0;248000;1;34;Centro
157;0;0;456803;1;34;Santa Efigenia
158;0;1;380000;1;34;Funcionarios
159;0;1;395500;1;34;Funcionarios
160;0;1;405500;1;34;Funcionarios
161;200;1;510000;1;34;Funcionarios
162;0;1;420000;1;34;Estoril
163;0;1;400000;1;35;Lourdes
164;0;0;700000;1;35;Centro
165;430;1;459000;1;35;Centro
166;0;1;245000;2;35;Centro
167;0;1;350000;1;35;Funcionarios
168;417;0;210000;1;35;Centro
169;290;0;230000;1;35;Centro
170;200;1;470000;1;35;Lourdes
171;0;1;480000;1;35;Santo Agostinho
172;0;1;430000;1;35;Savassi
173;0;0;5800;1;35;Savassi
174;0;1;382898;1;35;Funcionarios
175;0;0;210000;1;35;Santo Agostinho
176;816;1;299000;1;35;Luxemburgo
177;0;0;200000;1;35;Funcionarios
178;0;0;170000;1;35;Serra
179;0;1;249950;1;35;Buritis
180;0;0;160000;1;35;Buritis
181;0;1;250000;1;35;Buritis
182;1;2;420000;3;36;Santa Branca
183;936;1;210000;1;36;Silveira
184;0;0;100000;1;36;Centro
185;336;1;276800;1;36;Gutierrez
186;250;2;260000;1;36;Buritis
187;585;1;386000;1;36;Buritis
188;0;1;243490;2;37;Planalto
189;200;1;270000;1;37;Sagrada Familia
190;698;1;620000;1;37;Savassi
191;0;0;170000;1;38;Barro Preto
192;200;1;480000;1;38;Lourdes
193;380;1;480000;1;38;Centro
194;0;0;240000;1;38;Funcionarios
195;0;0;185000;1;38;Savassi
196;336;1;296500;2;38;Gutierrez
197;0;0;120000;1;39;Lourdes
198;298;0;360000;1;39;Centro
199;0;0;529970;1;39;Santa Efigenia
200;0;1;648176;1;39;Lourdes
201;0;1;695416;1;39;Lourdes
202;0;1;2900;1;39;Funcionarios
203;1500;1;325000;1;39;Savassi
204;0;0;380000;1;39;Estoril
205;0;1;250000;1;39;Buritis
206;10;2;475000;4;40;Santa Monica
207;10;3;490000;4;40;Santa Monica
208;0;1;196490;2;40;Sao Gabriel
209;1;3;850000;4;40;Jaragua
210;0;0;149000;1;40;Jaragua
211;225;1;200000;2;40;Castelo
212;242;1;230000;2;40;Sagrada Familia
213;395;1;355000;1;40;Centro
214;0;1;530000;1;40;Funcionarios
215;0;0;90000;1;40;Centro
216;295;0;165000;1;40;Centro
217;0;3;476000;1;40;Lourdes
218;0;2;850000;2;40;Engenho Nogueira
219;1400;1;330000;1;40;Savassi
220;0;3;2700;1;40;Lourdes
221;0;1;800;1;40;Lourdes
222;600;0;350000;1;40;Funcionarios
223;470;1;330000;1;40;Luxemburgo
224;480;2;350000;1;40;Luxemburgo
225;0;0;175000;2;40;Palmeiras
226;0;2;200000;1;40;Buritis
227;0;0;210000;1;40;Buritis
228;513;1;305000;1;40;Estoril
229;513;1;315000;1;40;Estoril
230;0;0;350000;1;40;Buritis
231;0;1;220000;1;40;Buritis
232;0;1;177990;2;41;Xodo Marize
233;0;1;467980;1;41;Funcionarios
234;594;1;290000;1;41;Santo Agostinho
235;0;1;450000;1;41;Santa Efigenia
236;0;1;480000;1;41;Santa Efigenia
237;500;0;380000;1;41;Santa Efigenia
238;471;1;495000;1;41;Lourdes
239;487;1;495000;1;41;Lourdes
240;0;3;580000;1;41;Lourdes
241;0;1;650000;1;41;Savassi
242;336;1;316400;1;41;Gutierrez
243;0;0;215000;1;41;Buritis
244;10;2;829000;4;42;Planalto
245;362;0;210000;1;42;Cidade Nova
246;310;1;95000;1;42;Sao Cristovao
247;365;1;1100;2;42;Padre Eustaquio
248;450;1;470000;1;42;Centro
249;368;0;220000;1;42;Centro
250;0;0;77000;1;42;Centro
251;0;0;564496;1;42;Santa Efigenia
252;420;0;205000;1;42;Centro
253;0;1;389000;1;42;Santa Efigenia
254;1;1;704256;1;42;Lourdes
255;800;0;704256;2;42;Lourdes
256;0;1;739468;1;42;Lourdes
257;0;0;180000;1;42;Funcionarios
258;260;0;170000;2;42;Serra
259;336;2;346100;2;42;Gutierrez
260;10;1;200000;2;43;Jardim Leblon
261;150;2;275000;2;43;Santa Branca
262;0;1;169500;2;43;Trevo
263;270;1;192000;2;43;Paqueta
264;167;1;177500;2;43;Casa Branca
265;0;1;480000;1;43;Santa Efigenia
266;0;0;564497;1;43;Santa Efigenia
267;0;1;670500;1;43;Santo Agostinho
268;0;1;694300;1;43;Santo Agostinho
269;1;1;701100;1;43;Santo Agostinho
270;0;1;704700;1;43;Santo Agostinho
271;936;1;690000;1;43;Santa Efigenia
272;150;1;175000;2;43;Joao Pinheiro
273;330;1;205000;2;43;Camargos
274;250;1;190000;2;43;Araguaia
275;0;1;215000;2;44;Leticia
276;10;1;220000;2;44;Santa Monica
277;1;2;510000;3;44;Santa Branca
278;10;1;199000;2;44;Copacabana
279;279;1;190000;2;44;Ouro Preto
280;225;1;192000;2;44;Palmares
281;470;1;300000;1;44;Santo Agostinho
282;0;0;270000;1;44;Centro
283;0;0;450;1;44;Centro
284;0;0;593710;1;44;Santa Efigenia
285;0;0;595000;1;44;Santa Efigenia
286;234;1;200000;2;44;California
287;530;1;740000;1;44;Savassi
