;Endereco;VlrCond;Garagem;Preco;Quarto;M2;Bairro;Cidade;Latitude;Longitude
0;Rua Wenceslau Braz;0;1;570000;3;14;Copacabana;Belo Horizonte;-19.8307998;-43.988104799999995
1;Rua Abeilard Pereira;0;2;435000;2;15;Santa Amalia;Belo Horizonte;-19.8445112;-43.981374100000004
2;Avenida do Contorno;1;1;497850;1;15;Santa Efigenia;Belo Horizonte;-19.9156428;-43.9453796
3;Rua Goncalves Dias;0;0;320000;1;17;Funcionarios;Belo Horizonte;-19.9311846;-43.9376407
4;Rua Cristina 1261;0;2;394000;1;17;Santo Antonio;Belo Horizonte;-19.9472539;-43.9352691
5;Avenida Bias Fortes 783;0;1;195000;1;18;Lourdes;Belo Horizonte;-19.9320955;-43.9393472
6;Avenida Professor Magalhaes Penido 378;0;0;190000;1;19;Sao Luiz;Belo Horizonte;-19.855140300000002;-43.9582535
7;Rua Goncalves Dias;1;0;170000;1;19;Savassi;Belo Horizonte;-19.9311846;-43.9376407
9;Rua da Bahia;0;0;92000;1;20;Centro;Belo Horizonte;-19.9151776;-43.9347647
10;Rua dos Guajajaras;0;0;110000;1;20;Barro Preto;Belo Horizonte;-19.926190899999998;-43.93638
11;Avenida Amazonas 314;0;0;110000;1;20;Centro;Belo Horizonte;-19.937943899999997;-43.9991336
12;Avenida Amazonas 314;0;0;90000;1;20;Centro;Belo Horizonte;-19.937943899999997;-43.9991336
13;Rua Alessandra Salum Cadar;0;1;199500;1;20;Buritis;Belo Horizonte;-19.976047100000002;-43.970316700000005
15;Avenida Aggeo Pio Sobrinho 204;0;2;200000;1;21;Buritis;Belo Horizonte;-19.9748003;-43.9770588
16;Avenida Afonso Pena;0;0;70000;1;22;Centro;Belo Horizonte;-19.9469331;-43.92125120000001
17;Avenida Otacilio Negrao de Lima 1624;850;1;150220;1;23;Pampulha;Belo Horizonte;-19.8609803;-43.9768403
18;Avenida Pasteur 89;0;0;184000;1;23;Santa Efigenia;Belo Horizonte;-19.927224600000002;-43.929091899999996
19;Avenida Raja Gabaglia;0;0;115000;1;23;Santa Lucia;Belo Horizonte;-19.9364152;-43.953396399999995
20;Avenida Raja Gabaglia;0;0;159000;1;23;Santa Lucia;Belo Horizonte;-19.9364152;-43.953396399999995
21;Avenida Afonso Pena 1436;0;0;303330;1;23;Savassi;Belo Horizonte;-19.9469331;-43.92125120000001
22;Rua Alessandra Salum Cadar 415;0;1;160000;1;23;Buritis;Belo Horizonte;-19.976047100000002;-43.970316700000005
23;Avenida Otacilio Negrao de Lima;800;0;220000;1;24;Sao Luiz;Belo Horizonte;-19.8609803;-43.9768403
24;Rua Ulhoa Cintra 50;0;0;319097;1;24;Santa Efigenia;Belo Horizonte;-19.9226563;-43.9216125
25;Rua Ulhoa Cintra 50;0;0;319761;1;24;Santa Efigenia;Belo Horizonte;-19.9226563;-43.9216125
26;Rua Ulhoa Cintra 50;0;0;330385;1;24;Santa Efigenia;Belo Horizonte;-19.9226563;-43.9216125
27;Rua Juiz de Fora 541;0;0;285545;1;24;Barro Preto;Belo Horizonte;-19.9313913;-43.955799299999995
28;Rua Antonio de Albuquerque;0;0;280000;1;24;Savassi;Belo Horizonte;-19.936584;-43.942116299999995
29;Rua Antonio de Albuquerque 54;0;1;371000;1;24;Savassi;Belo Horizonte;-19.936584;-43.942116299999995
30;Avenida Amazonas 314;0;0;100000;1;24;Centro;Belo Horizonte;-19.937943899999997;-43.9991336
31;Avenida Afonso Pena 1436;0;0;369290;1;24;Savassi;Belo Horizonte;-19.9469331;-43.92125120000001
32;Rua Erico Verissimo;0;0;105000;1;25;Santa Monica;Belo Horizonte;-19.8320775;-43.9115276
33;Rua Intendente Camara 540;353;0;290000;1;25;Liberdade;Belo Horizonte;-19.8610549;-43.95075070000001
34;Rua Intendente Camara 541;353;0;290000;1;25;Liberdade;Belo Horizonte;-19.8610549;-43.95075070000001
35;Rua Intendente Camara 544;353;0;290000;1;25;Liberdade;Belo Horizonte;-19.8610549;-43.95075070000001
36;Rua Artur de Sa;0;0;175000;1;25;Cidade Nova;Belo Horizonte;-19.8775301;-43.9251297
37;Rua Sao Paulo 1071;0;0;55000;1;25;Centro;Belo Horizonte;-19.914782000000002;-43.9388011
38;Avenida do Contorno 4640;0;0;225000;1;25;Funcionarios;Belo Horizonte;-19.9156428;-43.9453796
39;Avenida Olegario Maciel;0;1;300000;1;25;Lourdes;Belo Horizonte;-19.9159707;-43.9433531
40;Rua dos Tamoios 1071;0;0;55000;1;25;Centro;Belo Horizonte;-19.9182693;-43.9476876
41;Rua dos Carijos 424;0;0;120000;1;25;Centro;Belo Horizonte;-19.9199467;-43.9351965
42;Rua dos Tupis 343;0;0;100000;1;25;Centro;Belo Horizonte;-19.920522100000003;-43.9435645
43;Rua dos Tupis 457;0;1;220000;1;25;Centro;Belo Horizonte;-19.920522100000003;-43.9435645
44;Rua Domingos Vieira 319;0;0;165000;1;25;Santa Efigenia;Belo Horizonte;-19.9229036;-43.9230934
45;Rua dos Guajajaras;320;0;220000;1;25;Centro;Belo Horizonte;-19.926190899999998;-43.93638
46;Rua dos Guajajaras;306;0;250000;1;25;Centro;Belo Horizonte;-19.926190899999998;-43.93638
47;Rua Juiz de Fora;0;0;285545;1;25;Barro Preto;Belo Horizonte;-19.9313913;-43.955799299999995
48;Rua Juiz de Fora 541;0;0;285545;1;25;Barro Preto;Belo Horizonte;-19.9313913;-43.955799299999995
49;Rua Matias Cardoso 63;0;0;220000;1;25;Santo Agostinho;Belo Horizonte;-19.933083899999996;-43.9509867
50;Rua Santa Rita Durao;0;0;320000;1;25;Savassi;Belo Horizonte;-19.934475600000003;-43.934645200000006
51;Avenida Raja Gabaglia 4859;0;0;110000;1;25;Santa Lucia;Belo Horizonte;-19.9364152;-43.953396399999995
52;Avenida Raja Gabaglia 4000;0;0;125000;1;25;Estoril;Belo Horizonte;-19.9364152;-43.953396399999995
53;Avenida Raja Gabaglia 4000;0;0;150000;1;25;Estoril;Belo Horizonte;-19.9364152;-43.953396399999995
54;Avenida Raja Gabaglia 4000;0;1;165000;1;25;Estoril;Belo Horizonte;-19.9364152;-43.953396399999995
55;Avenida Raja Gabaglia 4000;0;1;180000;1;25;Estoril;Belo Horizonte;-19.9364152;-43.953396399999995
