Endereco;VlrCond;Garagem;Preco;Quarto;M2;Bairro;Cidade;Latitude;Longitude
Rua Buritizeiro;0;10;11990000;4;4000;Itaipu Barreiro;Belo Horizonte;-17.3731203;-44.975675
Rua Vinicius de Morais;1100;3;680000;4;130;Luxemburgo;Belo Horizonte;-18.2115555;-45.2354149
Rua Porto 935;150;1;190000;2;60;Sao Francisco;Belo Horizonte;-18.5876329;-46.5075405
Rua Adauto Lucio Cardoso;0;4;2100000;4;350;Belvedere;Belo Horizonte;-18.763547;-44.4244838
Rua Adauto Lucio Cardoso 46;0;4;3200000;4;387;Belvedere;Belo Horizonte;-18.763547;-44.4244838
Rua Adauto Lucio Cardoso;0;5;3480000;4;406;Belvedere;Belo Horizonte;-18.763547;-44.4244838
Rua Espirito Santo 1700;0;0;12000000;1;900;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;0;0;130000;1;53;Centro;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;0;0;160000;1;80;Centro;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1850;3;1610000;4;220;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo 2155;1000;2;1790000;4;266;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1520;4;1790000;4;160;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1800;2;1790000;4;187;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo 1868;2150;4;1790000;4;160;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo 2561;2111;3;1900000;4;210;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1850;3;1920000;4;162;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1;3;1990000;4;260;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1800;3;2600000;4;325;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
Rua Espirito Santo;1700;4;3000000;4;310;Lourdes;Belo Horizonte;-18.8647762;-41.1217768
