Price;Size;Rooms;Toilets;Parking
732600;74;1;2;2
1990000;164;4;5;3
720000;70;2;2;1
1680000;155;3;5;2
1200000;56;2;2;2
1950000;122;3;2;2
2105860;149;4;1;2
1475610;118;3;3;2
1350000;112;3;3;2
1880000;149;4;5;2
720000;73;2;2;1
1100000;94;3;3;1
650000;67;2;2;1
1500000;156;4;5;3
928000;97;3;2;1
697400;67;3;2;1
750000;75;2;2;1
2680001;168;2;3;3
820000;93;2;2;1
820000;90;2;2;1
1100000;93;2;1;1
980000;67;2;2;1
4125000;275;4;5;4
1150000;105;2;3;2
836893;68;2;2;1
1500000;126;3;3;2
1250700;128;3;4;2
530000;70;2;2;1
1400000;95;3;3;2
522900;83;3;2;2
420000;71;3;2;2
369000;63;2;2;1
686700;109;4;4;2
360000;50;2;2;1
1195614;110;3;2;2
2450000;221;3;4;4
919990;126;3;4;2
1550000;172;3;5;3
580000;87;3;3;2
1650000;185;4;4;2
629950;83;3;3;2
441000;69;2;2;2
550000;77;3;2;2
203000;34;2;2;1
680000;85;3;2;2
345300;58;3;2;1
995000;120;3;3;2
369000;60;3;2;1
927000;140;3;2;3
880000;118;3;4;2
526000;70;2;2;1
660000;85;3;2;2
385000;64;2;2;1
522900;83;3;2;2
340000;65;3;2;1
600000;82;2;2;1
441000;70;2;2;2
390000;31;1;2;1
830000;82;3;3;1
420000;54;2;2;1
1737000;158;4;6;4
780000;110;3;2;1
790000;105;2;2;1
550000;100;1;2;1
950000;113;3;2;1
785000;67;2;2;1
570140;54;2;2;1
1470000;130;3;5;2
2050000;169;3;4;2
1690000;167;3;5;3
760000;74;2;2;1
555000;67;2;2;1
688000;63;2;2;2
690000;63;2;2;2
1250000;125;3;4;2
950000;70;2;2;1
640000;72;2;2;1
1000000;121;3;4;3
847000;83;3;3;2
750000;94;3;4;2
954000;100;3;4;2
1180000;125;3;4;2
2790000;225;4;4;4
555000;41;1;2;1
440000;34;1;2;1
847000;83;3;3;2
1340000;105;2;3;2
1100000;92;3;3;2
1400000;83;2;3;2
1650000;136;2;5;2
1195000;76;2;2;2
1200000;96;3;3;2
1950000;111;3;4;2
3700000;210;4;7;3
1100000;94;3;2;1
1155805;82;2;3;2
780000;85;3;2;1
1485000;127;3;3;2
2400000;138;3;5;2
1950000;136;3;5;3
807000;105;3;3;1
2650000;206;4;1;3
1162756;95;3;3;2
1600000;112;3;3;2
775000;98;3;2;1
8000000;278;4;5;5
350000;33;1;2;1
8039200;278;4;7;4
590000;51;1;2;1
590000;51;1;2;1
1360000;115;3;4;2
1780000;164;4;4;3
1106996;48;1;2;2
1053000;60;2;2;1
1250000;81;2;3;2
610000;53;1;2;1
1297500;173;4;4;3
2180000;221;4;4;4
940000;112;3;2;2
900000;120;3;3;3
880000;102;3;2;2
970000;126;3;4;2
699000;89;3;2;2
635000;98;3;2;2
915000;30;3;1;2
550000;80;3;2;2
365000;51;1;1;1
423500;90;3;2;2
750000;107;3;2;2
620000;83;3;2;1
800000;120;4;2;2
540000;50;2;2;1
920000;112;3;2;2
713990;86;2;2;1
745000;92;3;2;2
435000;52;2;1;1
990000;118;3;4;2
460000;63;2;2;1
705000;132;3;2;1
399000;60;2;2;1
850000;110;3;4;2
530000;107;2;2;1
425000;64;2;2;2
900000;112;3;2;2
526000;70;2;2;1
495000;60;2;2;2
350000;79;2;1;1
1000000;122;3;3;2
636000;74;2;2;2
420000;63;2;1;1
459400;68;3;2;1
670000;110;3;2;2
827900;109;3;4;2
270000;35;1;2;1
999000;190;2;3;3
560000;110;2;1;1
550000;80;3;2;2
531000;70;2;2;1
550000;63;2;2;2
689900;86;3;2;1
620000;76;3;2;2
410000;63;3;2;1
229310;60;2;1;1
580000;125;3;2;1
270000;77;2;1;1
490245;65;2;2;1
530000;68;2;2;2
320000;55;2;1;1
480000;72;3;1;1
1408000;108;2;3;2
579000;63;2;2;1
670000;63;2;2;2
540000;75;2;1;1
1400000;125;3;4;3
980000;83;1;2;1
870000;97;3;2;1
1800000;158;2;3;2
1400000;152;3;3;3
640000;59;2;2;1
1300000;136;3;3;3
926012;79;2;2;2
1260545;105;3;4;2
1198000;119;2;2;2
585000;50;1;2;1
1259000;80;2;2;1
1770000;180;4;3;4
980862;100;3;2;2
2109500;315;4;6;4
1300000;139;4;2;1
800000;76;2;2;2
1950000;138;2;3;2
1462500;128;3;4;3
1380000;184;3;2;2
1200000;121;3;2;3
592617;65;2;2;1
1950000;210;3;2;2
1300000;169;3;4;2
850000;116;3;2;2
620000;62;2;2;1
1070000;93;2;2;2
2239000;167;3;4;3
1890000;178;4;4;3
1500000;98;2;2;2
1500000;140;3;3;2
2700000;180;2;3;2
3150000;210;4;4;3
1500000;184;3;2;2
636000;65;2;1;1
1800000;180;4;4;3
3460000;240;3;4;4
2150000;178;3;4;3
580000;70;2;2;1
2350000;178;2;3;3
640000;67;3;2;1
2400000;178;3;4;3
3200000;226;4;5;4
1550000;158;4;4;3
885000;72;2;2;2
1350000;170;4;4;2
1800000;196;4;3;3
2660000;150;3;4;3
800000;95;3;3;2
1700000;121;2;2;2
1400000;96;2;3;2
3600000;238;4;4;4
980000;115;3;2;1
1290000;187;3;2;2
2100000;148;3;4;2
1900000;134;3;4;3
960000;75;2;2;1
2400000;198;4;4;1
1050000;119;3;2;2
1950000;172;3;4;3
3600000;236;4;4;4
530000;49;1;2;1
530000;49;1;2;1
1200000;77;1;2;2
1500000;140;3;2;3
1600000;162;3;4;3
1700000;216;4;3;3
1900000;227;3;4;3
1906000;138;2;3;2
1900000;131;2;3;2
1600000;99;2;2;2
759000;103;4;4;2
449999;55;2;2;1
194900;31;1;2;1
390000;85;2;2;1
580000;58;2;2;1
723000;100;3;3;2
720000;100;3;3;2
310000;34;1;2;1
500000;69;2;2;1
300000;34;2;2;1
570000;70;2;2;1
530000;69;2;2;1
430000;58;2;2;1
391000;67;2;2;1
