Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
732600;1000;74;1;2;1;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.552.129;-46.692.244
1990000;2400;164;4;5;2;3;1;1;1;0;Vila Madalena/São Paulo;sale;apartment;-23.551.613;-46.699.106
720000;700;70;2;2;1;1;1;0;1;1;Vila Madalena/São Paulo;sale;apartment;-23.547.687;-46.692.594
1680000;1580;155;3;5;3;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-2.355.259;-46.691.104
1200000;900;56;2;2;1;2;0;1;1;0;Vila Madalena/São Paulo;sale;apartment;-23.553.087;-4.669.789
1950000;2207;122;3;2;1;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.558.541;-4.669.232
2105860;0;149;4;1;3;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.548.473;-46.693.005
1475610;1000;118;3;3;1;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.549.317;-46.692.097
1350000;1350;112;3;3;1;2;0;1;1;0;Vila Madalena/São Paulo;sale;apartment;-23.554.729;-46.689.597
1880000;1050;149;4;5;2;2;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.548.235;-46.692.536
720000;900;73;2;2;1;1;1;0;0;0;Vila Madalena/São Paulo;sale;apartment;-23.544.957;-46.693.206
1100000;1000;94;3;3;1;1;1;0;0;0;Vila Madalena/São Paulo;sale;apartment;-23.543.664;-46.704.285
650000;0;67;2;2;1;1;1;0;0;1;Vila Madalena/São Paulo;sale;apartment;-2.356.215;-46.692.518
1500000;1650;156;4;5;3;3;0;0;0;0;Vila Madalena/São Paulo;sale;apartment;-23.552.596;-46.691.106
928000;1100;97;3;2;1;1;1;0;0;0;Vila Madalena/São Paulo;sale;apartment;-23.545.566;-46.693.608
697400;500;67;3;2;1;1;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.544.082;-46.690.373
750000;835;75;2;2;1;1;0;0;0;0;Vila Madalena/São Paulo;sale;apartment;-23.552.039;-46.698.436
2680001;0;168;2;3;2;3;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.554.117;-46.686.749
820000;1500;93;2;2;1;1;1;0;0;0;Vila Madalena/São Paulo;sale;apartment;-2.354.652;-46.694.236
820000;1500;90;2;2;1;1;0;1;0;0;Vila Madalena/São Paulo;sale;apartment;-23.546.733;-46.694.201
1100000;0;93;2;1;2;1;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.546.658;-46.692.002
980000;570;67;2;2;1;1;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.544.408;-46.691.265
4125000;0;275;4;5;4;4;1;0;1;0;Vila Madalena/São Paulo;sale;apartment;-23.549.316;-46.692.097
